,FIRE_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE
263813,DENIED,2003,2452938.5,299,1045,5.0,Debris Burning,2452938.5,299.0,1055,0.1,A,43.0247,-102.5463
1835414,992,2015,2457147.5,125,2121,7.0,Arson,2457147.5,125.0,2155,0.01,A,38.86,-97.61
103289,HELLS # 2,1997,2450752.5,304,1550,7.0,Arson,2450752.5,304.0,1555,0.1,A,38.05,-119.925
1325730,,2004,2453145.5,141,1143,9.0,Miscellaneous,2453145.5,141.0,1143,0.5,B,42.5734317,-74.09586092
709716,,1995,2449987.5,270,1300,5.0,Debris Burning,2449987.5,270.0,1430,1.0,B,34.05518142,-89.69169412
550243,,1995,2449964.5,247,,7.0,Arson,,,,0.25,A,39.61666,-74.59334
1766567,COYOTE RD GRASS FIRE,2014,2456988.5,331,,5.0,Debris Burning,,,,1.0,B,32.85099,-95.02527
957993,,1999,2451320.5,142,,1.0,Lightning,,,,0.1,A,29.13,-82.58
1424646,,2010,2455285.5,89,1440,1.0,Lightning,,,,5.3,B,30.3656,-93.6938
878265,,1999,2451473.5,295,,2.0,Equipment Use,,,,1.6,B,32.2358,-84.0964
1362385,,1995,2449773.5,56,,5.0,Debris Burning,2449773.5,56.0,,10.0,C,36.89167,-82.03333
827832,,2000,2451763.5,220,1120,7.0,Arson,,,,3.0,B,30.7683,-88.5614
1246122,FY2001-HEARD-005,2000,2451739.5,196,2210,1.0,Lightning,2451739.5,196.0,2210,2.58,B,33.2817,-85.0985
964225,,1993,2449333.5,346,,6.0,Railroad,,,,0.5,B,26.56,-81.7
1727860,LITTLE DOME,2014,2456870.5,213,1845,1.0,Lightning,2456871.5,214.0,1414,0.1,A,43.41638889,-122.37555556
265210,BOTTLE,2006,2453940.5,205,2100,8.0,Children,2453940.5,205.0,2115,0.5,B,43.0192,-102.5539
785404,,1997,2450531.5,83,1214,5.0,Debris Burning,,,,2.0,B,37.94210896,-90.65070879
919998,,2001,2451979.5,70,,5.0,Debris Burning,,,,15.0,C,34.0833,-82.15
